[00:00:00.229 --> 00:00:01.310]  ...storable food can be.
[00:44:11.166 --> 00:44:11.346]  That's 903-356-6443.
[00:44:11.386 --> 00:44:11.806]  Open from 9 a.m.
[00:44:11.906 --> 00:44:12.367]  to 6 p.m.
[00:44:12.427 --> 00:44:13.847]  Central Standard Time.
[00:44:13.867 --> 00:44:15.468]  Or shop online at Internet-Grocer.net.
[00:44:15.488 --> 00:44:16.989]  Again, that's Internet-Grocer.net.
[00:44:27.054 --> 00:44:34.698]  How many times have you been in the dark looking for a flashlight, only to find the one that you have is broken, the batteries are dead, or it's just not bright enough?
[00:44:35.118 --> 00:44:36.298]  You need the Paclite.
[00:44:36.739 --> 00:44:44.582]  The Paclite is the longest-lasting flashlight on the market, and simply snaps onto any 9-volt battery, and uses two high-powered LED lights.
[00:44:44.942 --> 00:44:48.104]  It's small enough to carry in your pocket, car, garage, and home.
[00:44:48.524 --> 00:44:52.946]  The Paclite can survive severe impact, be frozen solid, and still work flawlessly.
[00:44:53.346 --> 00:44:54.607]  The Paclite is so durable,
[00:44:54.887 --> 00:44:59.270]  Soldiers overseas rely on them and has been featured in the New York Times and Backpacker magazine.
[00:44:59.710 --> 00:45:04.012]  The pack light comes with a 25 year warranty and prices start at just twelve ninety nine.
[00:45:04.373 --> 00:45:11.057]  To learn more and see for yourself just how incredible this small flashlight can be, visit 9voltlight.com.
[00:45:11.377 --> 00:45:14.999]  That address again is 9voltlight.com or
[00:45:15.339 --> 00:45:16.462]  Call us today at 877-715-4448.
[00:45:16.482 --> 00:45:16.662]  That's 877-715-4448.
[00:45:26.829 --> 00:45:26.989]  Uh-huh.
[00:45:48.118 --> 00:45:48.619]  We're good to go!
[00:46:10.657 --> 00:46:19.283]  Puriclear also has ingredients selected to promote improved circulation to enhance activity so that heavy metals may be more effectively captured and removed from the body.
[00:46:19.424 --> 00:46:26.629]  Order Puriclear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[00:46:27.350 --> 00:46:32.654]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:46:33.094 --> 00:46:34.855]  Are you safe when you walk to your car?
[00:46:35.396 --> 00:46:36.877]  Are your kids safe when they go out?
[00:46:37.517 --> 00:46:38.558]  Everyone needs something
[00:46:45.487 --> 00:46:52.634]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[00:46:53.054 --> 00:46:53.855]  Need something more?
[00:46:54.255 --> 00:46:57.899]  The Stinger keychain is a great way to surprise a potential attacker.
[00:46:58.079 --> 00:47:05.586]  Mr. Defense carries the largest selection of stun guns, air tasers, knives, swords, batons, survival spy and tactical gear.
[00:47:07.267 --> 00:47:08.347]  Thank you for listening to GCN.
[00:47:08.367 --> 00:47:10.148]  Be sure to visit GCNlive.com today.
[00:47:37.936 --> 00:47:38.816]  So let's talk.
[00:47:39.077 --> 00:47:39.697]  Let's chat.
[00:47:39.797 --> 00:47:42.378]  Let's start a dialogue about your ideas and mine.
[00:47:46.340 --> 00:47:48.221]  Oh, Hillary Clinton saving us now?
[00:47:48.821 --> 00:47:52.723]  What are you doing playing Hillary Clinton in there, Paul?
[00:47:54.544 --> 00:47:59.306]  It goes Bush, Clinton, Bush, Clinton.
[00:47:59.326 --> 00:48:01.847]  I guess we'll always have a Clinton in the White House.
[00:48:01.887 --> 00:48:03.208]  I'm so sick of looking at that woman.
[00:48:03.708 --> 00:48:05.369]  But I'm already sick of Barack Obama, you know.
[00:48:06.109 --> 00:48:08.410]  A new face, yeah, but same old action.
[00:48:08.690 --> 00:48:10.750]  And all the retreads he's brought into his administration.
[00:48:11.491 --> 00:48:17.713]  Alright, Gary, Mark, Aaron, Igor, and others, I'm going to get to your calls here momentarily.
[00:48:18.993 --> 00:48:26.155]  Some of the other news that I have here in front of me deals with the economy, and we will be going over that.
[00:48:26.595 --> 00:48:35.398]  In case you didn't know, the banking crisis is orchestrated, and we go over all the evidence of that in stories at InfoWars.com and PrisonPlanet.com, and with guests
[00:48:35.831 --> 00:48:40.954]  Here on air and later in the next hour, I'm going to break down some of the news developments there and the evidence that it is an inside job.
[00:48:41.755 --> 00:48:49.740]  But remember, we're the people that told you three years ago that we're going to orchestrate a subprime mortgage implosion by design and that it would lead to what you're now seeing.
[00:48:50.640 --> 00:48:55.263]  All the other pundits told you everything was fine and rosy and that we were never in a recession.
[00:48:56.064 --> 00:48:58.425]  So just remember who's been right all along and who's been wrong.
[00:48:59.726 --> 00:49:04.049]  Just to put an end cap on this, or bookends on it as they say,
[00:49:04.790 --> 00:49:08.011]  With the whole martial law situation, a lot of people think it's cute and funny.
[00:49:09.071 --> 00:49:10.612]  Because they think they're members of the establishment.
[00:49:10.632 --> 00:49:14.073]  But don't forget what the encyclopedia has to say about Smedley Butler.
[00:49:14.513 --> 00:49:21.555]  Smedley Darlington Butler, nicknamed the Fighting Quaker or Old Gimbal Eye, was a Major General in the U.S.
[00:49:21.575 --> 00:49:25.756]  Marine Corps, and at the time of his death, the most decorated Marine in U.S.
[00:49:25.776 --> 00:49:26.116]  history.
[00:49:26.896 --> 00:49:33.938]  During his 34 years of Marine Corps service, Butler was awarded numerous medals for heroism, including the Marine Corps'
[00:49:34.697 --> 00:49:40.480]  Brevet Medal, the highest marine medal at the time for officers, and subsequently the Medal of Honor twice.
[00:49:40.920 --> 00:49:51.566]  Notably, he is only one of 19 people to be twice awarded the Medal of Honor, and one of only three to be awarded a Marine Corps Brevet Medal and a Medal of Honor.
[00:49:52.446 --> 00:49:58.730]  And the only person to be awarded a Marine Corps Brevet Medal and the Medal of Honor for two different actions.
[00:49:59.250 --> 00:50:01.191]  In addition to his military career, Smetley Butler,
[00:50:02.285 --> 00:50:06.727]  Shot in the chest, thigh, arm, a bunch of other stuff, while saving people.
[00:50:07.028 --> 00:50:25.737]  Schmedley Butler was noted for his outspoken anti-interventionist views and his book, War is a Racket, his book was one of the first works describing the workings of the military-industrial complex and after retiring from the service, he became a popular speaker at meetings organized by veterans, pacifists, and church cribs in the 1930s.
[00:50:26.118 --> 00:50:30.500]  In 1934, he informed the United States Congress that a group of wealthy industrialists
[00:50:30.816 --> 00:50:38.120]  Had plotted a military coup known as the Business Plot to overthrow the government of President Franklin Delano Roosevelt.
[00:50:38.861 --> 00:50:41.482]  And later they had the McCormick-Dickstein Committee hearings.
[00:50:42.783 --> 00:50:49.927]  Now, see, we had Marines and Army officers like that back in the 30s when Hitler's people, through George Bush Sr.'
[00:50:49.887 --> 00:50:52.729]  's father, Prescott Bush, the head of the operation.
[00:50:52.929 --> 00:50:54.069]  Oh, that's Congressional testimony.
[00:50:56.571 --> 00:50:58.052]  Next you'll tell me Congress doesn't exist.
[00:50:58.112 --> 00:50:58.532]  I understand.
[00:50:59.328 --> 00:51:00.509]  Or the sun or moon doesn't exist.
[00:51:00.549 --> 00:51:04.473]  But the point is, they tried to overthrow, and they went to the Marine Corps to do it.
[00:51:05.794 --> 00:51:07.656]  Because he was next in line to be the commandant.
[00:51:09.037 --> 00:51:12.540]  And he had helped overthrow scores of nations for the private bankers.
[00:51:12.940 --> 00:51:14.662]  He'd never really spoken out politically.
[00:51:15.763 --> 00:51:17.204]  And so they thought that he was their man.
[00:51:22.108 --> 00:51:26.092]  So they came to him and said, let's overthrow the government and basically link up with Hitler.
[00:51:26.789 --> 00:51:34.576]  And so he played along with them long enough to go to their secret meetings of some of the richest people in the U.S., basically people that run Wall Street today.
[00:51:34.596 --> 00:51:35.657]  I mean, it's all the big families.
[00:51:36.497 --> 00:51:39.360]  And then he blew the whistle to Congress.
[00:51:39.420 --> 00:51:40.381]  A few of them got arrested.
[00:51:40.841 --> 00:51:44.645]  But some of them were so powerful that the media basically covered it up.
[00:51:44.685 --> 00:51:50.109]  And Congress and even Roosevelt said, let's just drop this because this could bring down the government by itself.
[00:51:50.169 --> 00:51:50.870]  It's so horrible.
[00:51:51.738 --> 00:52:04.067]  So for those of you out there sucking your thumbs, rolling your eyes, giggling and smirking, you think Marshall Law's cute, now that it's admitted that we're basically under it, Congress was threatened with Marshall Law nine weeks ago when they passed the Banker Takeover Bill.
[00:52:05.188 --> 00:52:07.410]  Now close to $10 trillion stolen.
[00:52:08.611 --> 00:52:11.973]  I say close, $8.5 trillion as of two and a half weeks ago.
[00:52:12.013 --> 00:52:14.735]  That was the last number we had, seven weeks into the bailouts.
[00:52:14.995 --> 00:52:15.756]  I don't know what it is now.
[00:52:16.236 --> 00:52:16.697]  It's growing.
[00:52:18.478 --> 00:52:20.379]  All the offshore banks, no one can even see it.
[00:52:20.419 --> 00:52:21.300]  Congress can't see it.
[00:52:21.547 --> 00:52:25.010]  And when Congress says they want to see it, they're told, sit down and shut up!
[00:52:25.670 --> 00:52:28.853]  Now, this is a coup by offshore banks through Wall Street.
[00:52:29.533 --> 00:52:30.694]  Alright, I'm done talking about it.
[00:52:31.335 --> 00:52:39.561]  The point is, if we wouldn't have had Smedley Butler in 1934, this country wouldn't exist right now, and Hitler would have won.
[00:52:40.762 --> 00:52:42.563]  But we became Hitler, so what does it matter?
[00:52:43.604 --> 00:52:46.106]  I mean, this is so important.
[00:52:47.748 --> 00:52:48.848]  They have had their coup.
[00:52:49.309 --> 00:52:50.770]  They found generals that like it.
[00:52:51.266 --> 00:52:56.590]  Now, they told Admiral Fox Fallon three months ago, four months ago, to stage terror attacks against U.S.
[00:52:56.650 --> 00:52:56.930]  ships.
[00:52:56.950 --> 00:53:00.193]  This has now come out in New Yorker Magazine and even MSNBC.
[00:53:00.213 --> 00:53:03.135]  It's claiming Iran did it and he did resign.
[00:53:03.995 --> 00:53:06.597]  So, I guess there are some ugly butlers out there.
[00:53:06.617 --> 00:53:14.043]  I mean, the head of the allied forces in the Middle East refused.
[00:53:15.404 --> 00:53:16.124]  But, doesn't matter.
[00:53:16.144 --> 00:53:19.607]  They just get rid of him and put some, you know, demon in there who will.
[00:53:21.653 --> 00:53:22.453]  God help us, man.
[00:53:22.773 --> 00:53:23.313]  God help us.
[00:53:23.994 --> 00:53:27.254]  And again, I know you think martial law is for your brown neighbor.
[00:53:27.795 --> 00:53:28.195]  It's not.
[00:53:28.235 --> 00:53:29.175]  It's for you.
[00:53:29.915 --> 00:53:31.676]  It's for anybody who's got a bank account.
[00:53:32.376 --> 00:53:33.556]  These are thieves.
[00:53:34.016 --> 00:53:35.117]  This is the new world order.
[00:53:35.137 --> 00:53:35.857]  They want power.
[00:53:36.137 --> 00:53:37.597]  They want global domination.
[00:53:38.217 --> 00:53:39.558]  They hate the United States.
[00:53:39.598 --> 00:53:42.298]  They just use false patriotism to sell us on this.
[00:53:42.679 --> 00:53:45.019]  Gary in California, thank you for holding.
[00:53:45.079 --> 00:53:46.820]  It is good to have you on the line with us.
[00:53:47.540 --> 00:53:47.940]  Thank you, Alex.
[00:53:48.792 --> 00:53:50.654]  I'd like to congratulate you on Prison Planet TV.
[00:53:50.674 --> 00:53:51.195]  It looks good.
[00:53:51.476 --> 00:53:52.156]  Well, thank you.
[00:53:52.236 --> 00:53:58.384]  We're about to go to Web 2.0 with that and have it be a better format, but the quality of the videos is now top flight.
[00:53:58.785 --> 00:53:59.005]  Okay.
[00:53:59.105 --> 00:54:00.887]  Well, the reason I called, I wanted to say that...
[00:54:01.900 --> 00:54:05.582]  If after the troops are on the streets, stage terror is the next stage, we better start warning people about it.
[00:54:05.962 --> 00:54:24.312]  Well, yeah, no, it'll be, oh, the troops are here helping with car wrecks, oh, and as I told you now, it's in the news all over, oh, troops are here, why's the army here, oh, they're here to help at a checkpoint, oh, they're looking for drunk drivers, you know, now announced in California, now announced in Texas, I mean, do you see how they're just creeping this in?
[00:54:24.332 --> 00:54:27.233]  Oh, well, I knew this was coming 15 years ago.
[00:54:27.473 --> 00:54:30.855]  Well, that's because you hate America, like Smedley Butler.
[00:54:31.468 --> 00:54:34.409]  Hey, Alex, do you want the Terror Storm bibliography?
[00:54:35.050 --> 00:54:35.350]  Yes, sir.
[00:54:35.390 --> 00:54:36.270]  You're the guy that made that.
[00:54:36.831 --> 00:54:37.951]  Yeah, the in-game one, too.
[00:54:38.171 --> 00:54:38.311]  Yeah.
[00:54:38.632 --> 00:54:39.052]  That's right.
[00:54:39.452 --> 00:54:41.673]  What is the ingame.com and the Terror Storm?
[00:54:42.413 --> 00:54:42.714]  What is it?
[00:54:43.074 --> 00:54:44.114]  Martiallaw911.info?
[00:54:44.254 --> 00:54:46.295]  No, that was a different guy.
[00:54:47.316 --> 00:54:48.836]  There was a guy who did the Martial Law one.
[00:54:49.277 --> 00:54:49.517]  Yeah.
[00:54:49.837 --> 00:54:51.278]  And then I did the in-game one.
[00:54:51.418 --> 00:54:53.559]  But I got the Terror Storm one if you want to use it because it's still relevant.
[00:54:53.759 --> 00:54:58.961]  OK, well, send it all to Curt Nemo because, again, I checked out your bibliography on the last two films.
[00:54:59.142 --> 00:55:00.102]  Excellent of the first film.
[00:55:00.935 --> 00:55:08.437]  And it's 100%, so send that to Kurt Nemo, and send that to Aaron at InfoWars.com, and we'll get it up on the site.
[00:55:08.457 --> 00:55:10.238]  Does Kurt have an email or something?
[00:55:10.638 --> 00:55:15.739]  Yes, it's Kurt at InfoWars.com, also cc it to Aaron at InfoWars.com.
[00:55:16.219 --> 00:55:16.499]  Okay.
[00:55:17.199 --> 00:55:17.419]  Alright.
[00:55:17.980 --> 00:55:19.340]  You're doing a great job Alex, keep it up.
[00:55:19.700 --> 00:55:20.380]  Anything else sir?
[00:55:21.680 --> 00:55:23.081]  No, you're just speaking the truth, it's obvious.
[00:55:23.101 --> 00:55:25.261]  I've seen this coming for almost two decades.
[00:55:25.962 --> 00:55:27.402]  Good to hear from you my friend, yes.
[00:55:28.339 --> 00:55:31.642]  That's the volunteer that made the bibliography for my film, Endgame.
[00:55:31.902 --> 00:55:36.707]  I'm so busy getting the data and doing the research that most filmmakers don't have a bibliography for their film.
[00:55:36.907 --> 00:55:38.649]  We do, because he did one.
[00:55:38.969 --> 00:55:42.913]  But we vetted it, and sure enough, he found all the research we found and put it together.
[00:55:42.973 --> 00:55:48.318]  So every second of Endgame, which is really my most popular film ever, by the way.
[00:55:48.438 --> 00:55:50.800]  It's the best-selling by double.
[00:55:50.920 --> 00:55:52.562]  It's the film that's the most effective.
[00:55:53.570 --> 00:55:54.531]  It's a side issue.
[00:55:54.551 --> 00:56:00.434]  Get it on DVD at Infowars.com and then follow along with the website WhatIsTheEndgame.com or EndgameTheMovie.com.
[00:56:01.475 --> 00:56:02.616]  Let's go ahead.
[00:56:02.656 --> 00:56:11.281]  When we tell you the UN public policy is to kill 80% of us, why, we have the official UN Biological Diversity Assessment right there for you.
[00:56:11.722 --> 00:56:12.922]  Thanks to that fellow you just heard.
[00:56:12.942 --> 00:56:15.304]  I mean, I show video of it in the film, but
[00:56:16.232 --> 00:56:17.713]  I'm kind of the point of, you know what?
[00:56:18.253 --> 00:56:20.095]  I showed you the name and the number of the document.
[00:56:20.115 --> 00:56:21.035]  You can get it at the library.
[00:56:21.055 --> 00:56:23.237]  If you don't believe me, go jump off a cliff.
[00:56:23.597 --> 00:56:26.639]  But if somebody makes us a bibliography, I'll post it.
[00:56:26.759 --> 00:56:27.960]  Mark in Florida.
[00:56:27.980 --> 00:56:28.621]  You're on the air.
[00:56:28.661 --> 00:56:28.981]  Welcome.
[00:56:30.482 --> 00:56:30.742]  Yes.
[00:56:30.842 --> 00:56:31.262]  Hello.
[00:56:31.402 --> 00:56:32.303]  Hello, sir.
[00:56:33.244 --> 00:56:33.864]  Yes.
[00:56:34.124 --> 00:56:35.005]  How are you, Alex?
[00:56:35.980 --> 00:56:45.303]  I'm interested in the theme of secrecy and human nature, like I've been... I think I've asked you about it before, and I was just wondering two things.
[00:56:45.823 --> 00:56:51.685]  Number one, an easy question, how do you read a government document?
[00:56:51.865 --> 00:57:04.409]  I've tried to read these government documents, and I get bored, and I fall asleep, and they seem really mealy-mouthed, and I find it difficult to... Okay, the best way to read a government document is in the continuity.
[00:57:06.155 --> 00:57:16.543]  With the history of the infrastructure that document is plugging into, so it's kind of like if you want to understand Godfather 3, you need to see Godfather 1 and 2.
[00:57:16.584 --> 00:57:20.987]  You really have to be rooted in history pretty well then.
[00:57:21.027 --> 00:57:24.690]  I probably need to read more history, you know, to get some perspective.
[00:57:24.710 --> 00:57:33.617]  Well, I mean, you know, if you're going to look at the change in law to put troops on the streets, you've got to know why we got the 1878 Posse Comitatus Act.
[00:57:34.018 --> 00:57:35.619]  You've got to know about the Federalist Papers.
[00:57:36.135 --> 00:57:42.103]  You've got to understand what quartered among us meant, troops on the streets of the colonies, you know, going back to 1770s, 1780s.
[00:57:42.343 --> 00:57:45.147]  You've got to understand third world countries.
[00:57:45.747 --> 00:57:50.173]  You've got to understand Roman history, you know, Caesar bringing his legions into Rome.
[00:57:50.614 --> 00:57:53.197]  I mean, when they put troops on the streets, you're not in a free society.
[00:57:55.429 --> 00:58:07.998]  So then through that historical basis, then you study, I mean the John Warner Defense Authorization Act, that's a good one to read on the troop issue because it states right there that it's for civil insurrection, that the military is to engage the people.
[00:58:08.418 --> 00:58:10.920]  You could go read the Army War College report, we're linked to that.
[00:58:11.465 --> 00:58:13.005]  They state they're ready to splatter us.
[00:58:13.406 --> 00:58:13.686]  Stay there.
[00:58:13.706 --> 00:58:15.846]  I'm going to come back to you if you want to hold to the news.
[00:58:15.866 --> 00:58:17.027]  Important news, stay with us.
[00:58:17.167 --> 00:58:21.388]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:21.508 --> 00:58:24.329]  Now you can do even more to hear Genesis shows in your area.
[00:58:24.409 --> 00:58:28.830]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:28.970 --> 00:58:29.490]  It's easy.
[00:58:29.670 --> 00:58:33.331]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:58:36.292 --> 00:58:36.953]  Make a difference.
[00:58:37.033 --> 00:58:42.317]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:58:42.437 --> 00:58:42.798]  Call today!
[00:58:48.208 --> 00:58:49.108]  Looking for profit?
[00:58:49.268 --> 00:58:50.669]  Looking for safety and security?
[00:58:50.929 --> 00:58:53.830]  The $10 Olympic commemorative gold coin offers both.
[00:58:54.250 --> 00:59:01.813]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:59:01.893 --> 00:59:05.254]  Falling dollar values and inflation make this likely to happen again.
[00:59:05.634 --> 00:59:07.135]  Secure your position today.
[00:59:07.475 --> 00:59:08.695]  Call Midas Resources at 1-800-686-2237.
[00:59:08.715 --> 00:59:08.955]  That's 1-800-686-2237.
[00:59:17.327 --> 00:59:19.187]  Heart disease is on the rise.
[00:59:19.327 --> 00:59:26.009]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:59:26.269 --> 00:59:34.451]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:59:34.671 --> 00:59:40.392]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:59:40.812 --> 00:59:42.354]  My blood pressure has normalized.
[00:59:42.414 --> 00:59:44.577]  My diabetes has totally improved.
[00:59:44.717 --> 00:59:48.962]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:59:49.122 --> 00:59:51.244]  I recommend Heart and Body Extract to everyone.
[00:59:51.345 --> 00:59:59.194]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:59:59.414 --> 01:00:03.157]  Order your two-month supply today by calling 866-295-5305.
[01:00:03.477 --> 01:00:07.200]  That's 866-295-5305.
[01:00:07.380 --> 01:00:10.202]  Or order online at HBextract.com.
[01:00:10.402 --> 01:00:14.405]  Heart and Body Extract, 866-295-5305.
[01:00:14.565 --> 01:00:16.407]  Or HBextract.com.
[01:00:16.867 --> 01:00:19.369]  Says he'll run for Speaker of the House.
[01:00:21.730 --> 01:00:23.572]  You are listening to GCN.
[01:00:24.953 --> 01:00:27.495]  At 90 KLBJ, Austin, Texas.
[01:00:31.660 --> 01:00:33.221]  IRN USA Radio News.
[01:00:33.461 --> 01:00:34.421]  I'm Jody Jordan.
[01:00:34.782 --> 01:00:41.245]  Around the Middle East, opponents of Israel and its air assault on Hamas targets in Gaza are making their anger known.
[01:00:41.305 --> 01:00:46.627]  In Lebanon, there were cries of death to Israel from a crowd of about 1,000 people.
[01:00:47.007 --> 01:00:47.968]  Here's Mark Levy.
[01:00:48.148 --> 01:00:51.750]  Israel has called up 6,500 reserve infantry forces.
[01:00:52.150 --> 01:00:54.991]  That's a clear sign that an invasion of Gaza is in the offing.
[01:00:55.051 --> 01:01:01.154]  In the meantime, Israel's air force is keeping up its attacks, hitting Hamas targets and security installations all over Gaza.
[01:01:01.434 --> 01:01:05.215]  Innate people are dead after a suicide bomb attack in Afghanistan.
[01:01:05.555 --> 01:01:12.077]  Officials say the bomber tried to attack a meeting of tribal elders and blew himself up near a primary school.
[01:01:12.097 --> 01:01:14.277]  Here's Jason Strasusso.
[01:01:14.457 --> 01:01:21.179]  The attack came on the last day of the school year for the children, and the students had gathered in the classroom to receive end-of-year certificates.
[01:01:21.939 --> 01:01:24.199]  Teachers were also delivering books to the students.
[01:01:24.459 --> 01:01:26.580]  This is IRN USA Radio News.
[01:01:28.084 --> 01:01:32.207]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[01:01:32.567 --> 01:01:41.512]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[01:01:42.033 --> 01:01:43.574]  Hi, how in the world are you anyway?
[01:01:43.854 --> 01:01:47.116]  I'm Andy Willoughby with the 3-Step Plan Home Business System.
[01:01:47.496 --> 01:01:51.819]  The 3-Step Plan helps people feel better, look better, and make more money.
[01:01:52.279 --> 01:01:56.564]  History has shown that our product line actually grows during an economic slowdown.
[01:01:56.904 --> 01:02:04.172]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[01:02:04.699 --> 01:02:13.524]  With the 3-Step Plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[01:02:13.845 --> 01:02:15.406]  Don't wait for things to get worse.
[01:02:15.786 --> 01:02:17.687]  Check out the 3-Step Plan today.
[01:02:18.027 --> 01:02:20.208]  Go to 3stepplan.com or call 800-480-2102.
[01:02:20.228 --> 01:02:20.268]  800-480-2102.
[01:02:28.470 --> 01:02:35.164]  The forecast calls for clear skies today in the Midwest, a day after some summer-like weather a week into winter.
[01:02:35.842 --> 01:02:39.285]  The region was pounded with hail, high winds, and even funnel clouds.
[01:02:40.026 --> 01:02:43.249]  Much of Illinois, Missouri, and Michigan are under a flood watch.
[01:02:43.809 --> 01:02:46.952]  Bruce Sullivan is a meteorologist with the National Weather Service.
[01:02:47.212 --> 01:02:50.795]  For most of the country, the weather is fairly tranquil this time of year.
[01:02:50.835 --> 01:02:53.377]  We do have a weather system moving through the Great Lakes.
[01:02:53.658 --> 01:03:00.864]  Bring a little bit of snow to that region today, otherwise cold front associated with that is expected to push rapidly eastward.
[01:03:01.124 --> 01:03:10.812]  And with Pakistan shifting troops away from the Afghan border and into the border region with India, there are concerns that militant violence in the northwestern area could escalate.
[01:03:11.553 --> 01:03:20.720]  And those concerns were heightened today when a suicide bomber killed 26 people in a region where Pakistan's army has battled insurgents for more than a year.
[01:03:21.581 --> 01:03:25.604]  For more news and analysis, log on to IRNnews.com.
[01:03:30.055 --> 01:03:33.276]  The holidays are a time to celebrate with family and friends.
[01:03:33.296 --> 01:03:38.218]  But don't forget, it's also a time when cops will be cracking down on drunk drivers.
[01:03:38.619 --> 01:03:41.120]  It doesn't matter who you are or where you drive.
[01:03:41.520 --> 01:03:44.881]  If you drive drunk, you will get caught and you will get arrested.
[01:03:45.181 --> 01:03:47.202]  So, go to parties and have fun this holiday.
[01:03:47.462 --> 01:03:49.743]  But don't forget that cops will be out in force.
[01:03:49.943 --> 01:03:52.164]  If you get drunk, do not get behind the wheel.
[01:03:52.404 --> 01:03:53.925]  Over the limit, under arrest.
[01:03:54.205 --> 01:03:55.105]  Paid for by the U.S.
[01:03:55.145 --> 01:03:56.266]  Department of Transportation.
[01:03:58.476 --> 01:04:08.077]  Herman Rosenblatt's story about how he met his wife Roma has been held as a great love story, but now its truth has been called into question and the book scrapped.
[01:04:08.792 --> 01:04:09.632]  Here's Bob Eller.
[01:04:09.772 --> 01:04:17.395]  The Rosenblatts were interviewed twice over the years by Oprah Winfrey, who has called their romance the single greatest love story ever told on her show.
[01:04:17.855 --> 01:04:25.517]  In a statement issued through his agent, Herman Rosenblatt says he wanted to bring happiness and hope to people, and his motivation was to make good in this world.
[01:04:25.657 --> 01:04:25.917]  U.S.
[01:04:25.957 --> 01:04:32.579]  Coast Guard search and rescue crews continue their efforts to find an American woman who reportedly fell from a cruise ship.
[01:04:33.334 --> 01:04:36.636]  The Mexican Navy has also been searching the waters off Cancun.
[01:04:37.196 --> 01:04:41.759]  Coast Guard spokesman Nick Amin describes how searchers are looking for the missing woman.
[01:04:41.939 --> 01:04:46.321]  We have a starting position about 50 miles east of Cancun, Mexico.
[01:04:46.602 --> 01:04:52.065]  They take many variables such as weather, the water current, and they expand on that point.
[01:04:52.305 --> 01:04:55.707]  As time progresses, that search pattern keeps expanding.
[01:04:55.787 --> 01:05:02.791]  And environmentalists are accusing government officials in Tennessee of downplaying the health risks from a giant sludge spill.
[01:05:03.371 --> 01:05:11.598]  More than a billion gallons of potentially toxic residue flooded out of a containment reservoir Monday at a coal-fired power plant.
[01:05:12.239 --> 01:05:17.323]  Resident Jeffrey Spurgeon lives in the neighborhood that was flooded with ash and water on Monday.
[01:05:17.343 --> 01:05:21.566]  I'm Jody Jordan for IRN USA Radio News.
[01:05:27.117 --> 01:05:30.400]  Silver is mankind's oldest natural antibiotic.
[01:05:30.560 --> 01:05:34.643]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:05:34.823 --> 01:05:46.251]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[01:05:46.491 --> 01:05:49.674]  Because our colloidal silver is made up of nano-sized particles,
[01:05:49.994 --> 01:05:56.977]  It can be better utilized at the cellular level, and germs can't mutate to be resistant like they can to modern-day antibiotics.
[01:05:57.257 --> 01:06:05.281]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[01:06:05.461 --> 01:06:13.124]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of healthcare and freedom of speech.
[01:06:13.624 --> 01:06:16.165]  Visit us today at utopiasilver.com.
[01:06:16.325 --> 01:06:19.046]  That's U-T-O-P-I-A-Silver dot com.
[01:06:19.206 --> 01:06:19.826]  Or call 888-213-4338.
[01:06:19.846 --> 01:06:19.886]  888-213-4338.
[01:06:19.906 --> 01:06:20.766]  And help us win this battle.
[01:06:20.786 --> 01:06:21.386]  He stands for truth.
[01:06:21.546 --> 01:06:22.126]  He stands for justice.
[01:06:22.166 --> 01:06:22.947]  He stands for what's right.
[01:06:43.624 --> 01:06:45.925]  This is the Alex Jones Show.
[01:06:46.905 --> 01:06:54.208]  Call Alex now, toll free at 877-590-5525.
[01:06:55.288 --> 01:07:00.050]  Now live from Austin, Texas, here's Alex Jones.
[01:07:02.571 --> 01:07:12.675]  You know, there's a hundred subjects I could cover, and I am going to get into the economy and what's happening between India and Pakistan, Israel, and the Gaza Strip right now.
[01:07:15.290 --> 01:07:19.792]  The European Union, the United States, China, they're all teaming up to start censoring the Internet.
